City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,16.61,72,4,0.45,US,1725838404
1,edinburgh of the seven seas,-37.0676,-12.3116,12.65,75,100,7.83,SH,1725838405
2,georgetown,5.4112,100.3354,25.96,87,20,1.03,MY,1725838408
3,hermanus,-34.4187,19.2345,10.2,71,46,4.82,ZA,1725838306
4,deqen,29.9618,90.7188,7.42,86,79,1.68,CN,1725838308
5,palmer,42.1584,-72.3287,15.85,66,4,1.77,US,1725838411
6,aketi,2.7388,23.7833,20.69,98,78,0.43,CD,1725838412
7,hithadhoo,-0.6,73.0833,27.97,73,74,3.18,MV,1725838414
8,waitangi,-43.9535,-176.5597,10.57,83,99,10.25,NZ,1725838312
9,port elizabeth,-33.918,25.5701,12.16,76,40,2.57,ZA,1725838416
10,saint-pierre,-21.3393,55.4781,20.82,68,75,1.54,RE,1725838314
11,tiksi,71.6872,128.8694,7.67,75,100,5.55,RU,1725838316
12,aripuana,-9.1667,-60.6333,28.62,25,24,1.21,BR,1725838419
13,yamada,39.4667,141.95,24.45,60,78,1.03,JP,1725838420
14,yellowknife,62.456,-114.3525,19.67,63,75,2.57,CA,1725838319
15,kingston,17.997,-76.7936,30.53,74,20,7.72,JM,1725838320
16,praia da vitoria,38.7333,-27.0667,22.14,73,75,4.18,PT,1725838424
17,majene,-3.5403,118.9707,26.15,83,91,4.74,ID,1725838425
18,port-aux-francais,-49.35,70.2167,3.21,93,100,10.18,TF,1725838426
19,puerto natales,-51.7236,-72.4875,2.85,71,60,7.17,CL,1725838429
20,grytviken,-54.2811,-36.5092,0.67,90,14,2.16,GS,1725838430
21,neelankarai,12.9455,80.2575,28.95,80,40,3.6,IN,1725838431
22,sychevka,55.8252,34.2736,12.32,74,19,1.92,RU,1725838432
23,dhidhdhoo,6.8833,73.1,27.62,77,100,4.6,MV,1725838433
24,ryotsu-minato,38.0833,138.4333,25.34,65,21,4.26,JP,1725838434
25,punta arenas,-53.15,-70.9167,3.06,75,40,11.32,CL,1725838436
26,tazovsky,67.4667,78.7,1.24,74,98,11.74,RU,1725838437
27,west island,-12.1568,96.8225,25.99,78,40,7.2,CC,1725838438
28,kiunga,-6.1219,141.2906,23.3,87,100,1.23,PG,1725838439
29,ribeira grande,38.5167,-28.7,22.1,86,36,4.47,PT,1725838440
30,papatowai,-46.5619,169.4708,12.33,60,100,3.86,NZ,1725838441
31,lebu,-37.6167,-73.65,8.58,88,97,2.67,CL,1725838442
32,invercargill,-46.4,168.35,13.34,68,100,4.92,NZ,1725838219
33,blackmans bay,-43.0167,147.3167,11.07,61,89,1.34,AU,1725838446
34,colonia,50.9333,6.95,15.51,84,0,1.03,DE,1725838447
35,kargasok,59.0556,80.8572,10.63,92,100,6.93,RU,1725838449
36,howard springs,-12.497,131.047,28.26,78,49,4.77,AU,1725838451
37,dudinka,69.4058,86.1778,-0.22,90,100,9.86,RU,1725838452
38,klyuchi,52.2667,79.1667,12.16,82,95,2.39,RU,1725838453
39,ilulissat,69.2167,-51.1,1.01,69,11,0.0,GL,1725838454
40,mount pearl,47.5166,-52.7813,19.07,94,75,4.63,CA,1725838455
41,waingapu,-9.6567,120.2641,27.96,70,0,3.14,ID,1725838456
42,qaqortoq,60.7167,-46.0333,5.16,76,100,1.0,GL,1725838457
43,sitka,57.0531,-135.33,16.94,63,20,7.2,US,1725838459
44,olonkinbyen,70.9221,-8.7187,3.85,91,98,8.33,SJ,1725838460
45,eyl,7.9803,49.8164,25.26,75,32,7.47,SO,1725838461
46,adamstown,-25.066,-130.1015,19.29,82,46,11.76,PN,1725838462
47,huangzhou,30.45,114.8,28.58,68,0,3.06,CN,1725838463
48,coronel suarez,-37.4547,-61.9334,12.49,56,66,2.68,AR,1725838464
49,akureyri,65.6835,-18.0878,3.96,75,100,5.14,IS,1725838465
50,saint-philippe,-21.3585,55.7679,21.25,81,55,3.53,RE,1725838467
51,port mathurin,-19.6833,63.4167,22.11,78,3,8.48,MU,1725838468
52,codrington,-38.2667,141.9667,11.66,75,100,6.99,AU,1725838469
53,okha,53.5739,142.9478,13.2,64,75,7.01,RU,1725838470
54,circasia,4.6189,-75.6358,26.27,78,33,2.73,CO,1725838471
55,guerrero negro,27.9769,-114.0611,28.02,52,7,6.47,MX,1725838472
56,margaret river,-33.95,115.0667,12.87,74,100,0.68,AU,1725838434
57,albany,42.6001,-73.9662,14.7,65,2,2.86,US,1725838203
58,anadyr,64.75,177.4833,12.28,66,20,2.0,RU,1725838476
59,huoqiu chengguanzhen,32.3547,116.2939,27.7,77,0,4.95,CN,1725838477
60,aasiaat,68.7098,-52.8699,-0.84,86,11,1.86,GL,1725838478
61,bredasdorp,-34.5322,20.0403,7.78,83,72,2.2,ZA,1725838479
62,carnarvon,-24.8667,113.6333,20.29,48,0,3.77,AU,1725838480
63,ust-nera,64.5667,143.2,9.22,73,94,1.4,RU,1725838481
64,manadhoo,5.7667,73.3833,27.55,78,100,4.96,MV,1725838483
65,kourou,5.1552,-52.6478,26.52,81,3,4.79,GF,1725838485
66,isafjordur,66.0755,-23.124,0.99,84,99,8.45,IS,1725838486
67,vilyuchinsk,52.9306,158.4028,14.15,58,67,4.39,RU,1725838487
68,douglas,41.3,-96.167,25.49,45,0,3.6,US,1725838488
69,minas de marcona,-15.2119,-75.1103,13.08,74,18,5.13,PE,1725838490
70,iqaluit,63.7506,-68.5145,5.85,65,40,1.03,CA,1725838491
71,kara,9.5511,1.1861,22.48,94,14,1.03,TG,1725838492
72,kavaratti,10.5669,72.642,26.69,85,95,6.56,IN,1725838493
73,kirensk,57.7853,108.1119,9.02,95,100,2.43,RU,1725838494
74,luganville,-15.5333,167.1667,26.01,53,93,6.94,VU,1725838495
75,karratha,-20.7377,116.8463,26.36,23,27,7.21,AU,1725838496
76,puerto ayora,-0.7393,-90.3518,20.86,93,94,3.13,EC,1725838498
77,iskateley,67.6803,53.1512,6.44,75,68,4.12,RU,1725838499
78,keflavik,64.0049,-22.5624,4.24,75,0,9.26,IS,1725838500
79,la'ie,21.6477,-157.9253,30.98,65,29,3.58,US,1725838501
80,st. john's,47.5649,-52.7093,19.53,94,75,4.63,CA,1725838502
81,berrahal,36.8353,7.4533,24.52,87,100,2.02,DZ,1725838503
82,hawaiian paradise park,19.5933,-154.9731,28.74,69,20,7.2,US,1725838504
83,bilibino,68.0546,166.4372,3.7,92,100,1.39,RU,1725838507
84,saipan,15.1355,145.701,28.39,78,75,3.6,MP,1725838508
85,susuman,62.7833,148.1667,7.06,71,59,0.39,RU,1725838509
86,khunti,23.0833,85.2833,24.06,93,69,3.59,IN,1725838510
87,hong kong,22.2855,114.1577,28.51,85,100,4.02,HK,1725838212
88,kolonia town,6.964,158.206,33.0,66,75,2.06,FM,1725838513
89,utrik,11.2278,169.8474,28.34,78,5,7.33,MH,1725838514
90,tolanaro,-25.0319,46.9987,22.04,88,0,9.77,MG,1725838515
91,happy valley-goose bay,53.3168,-60.3315,14.17,100,100,1.03,CA,1725838516
92,flying fish cove,-10.4217,105.6791,24.82,94,100,6.69,CX,1725838517
93,puerto baquerizo moreno,-0.9,-89.6,20.89,85,97,5.58,EC,1725838518
94,vila do maio,15.1333,-23.2167,26.47,77,93,4.93,CV,1725838519
95,auki,-8.7676,160.7034,27.1,80,57,3.16,SB,1725838521
96,nyagan,62.1406,65.3936,6.28,85,41,1.48,RU,1725838522
97,andzhiyevskiy,44.23,43.08,17.04,77,100,3.0,RU,1725838523
98,vorgashor,67.5833,63.95,4.74,71,100,5.25,RU,1725838524
99,verkh-chebula,56.0308,87.6218,10.15,95,100,5.87,RU,1725838525
100,nar'yan-mar,67.6713,53.087,6.52,76,69,4.11,RU,1725838526
101,laguna,38.421,-121.4238,38.86,18,0,1.54,US,1725838527
102,lagunas,-5.2269,-75.6753,27.84,56,42,1.15,PE,1725838529
103,ushuaia,-54.8,-68.3,1.81,80,75,10.29,AR,1725838530
104,mukalla,14.5425,49.1242,27.16,75,51,2.18,YE,1725838531
105,timimoun,29.2639,0.231,35.21,29,0,2.06,DZ,1725838532
106,harper,4.375,-7.7169,24.43,84,88,4.78,LR,1725838533
107,mejit,10.2753,170.8646,27.56,83,15,6.89,MH,1725838534
108,jamestown,42.097,-79.2353,14.8,62,75,5.66,US,1725838249
109,nhandeara,-20.6942,-50.0383,28.96,21,2,2.69,BR,1725838537
110,idri,27.5,13.2667,32.44,30,13,1.55,LY,1725838538
111,stettler,52.3168,-112.7186,30.12,16,10,4.98,CA,1725838539
112,antsiranana,-12.2787,49.2917,22.57,82,12,7.34,MG,1725838540
113,noosa heads,-26.3833,153.15,22.5,61,5,4.22,AU,1725838541
114,prince rupert,54.3161,-130.3201,14.05,83,0,6.17,CA,1725838542
115,namtsy,62.7161,129.6658,7.86,75,100,2.1,RU,1725838543
116,atafu village,-8.5421,-172.5159,28.12,76,9,6.62,TK,1725838545
117,mitu,1.1983,-70.1733,22.82,93,70,0.11,CO,1725838546
118,san patricio,28.017,-97.5169,30.97,54,69,3.79,US,1725838547
119,college,64.8569,-147.8028,12.26,83,100,1.54,US,1725838548
120,ar rutbah,33.0381,40.2848,28.36,37,0,4.24,IQ,1725838549
121,ponta delgada,37.7333,-25.6667,21.4,83,20,3.6,PT,1725838550
122,shingu,33.7333,135.9833,27.98,71,0,3.25,JP,1725838551
123,palikir - national government center,6.9248,158.1611,32.41,66,75,2.06,FM,1725838553
124,balikpapan,-1.2675,116.8289,25.55,89,20,2.06,ID,1725838554
125,zaozersk,69.4005,32.4476,13.18,90,29,4.77,RU,1725838555
126,new haven,41.4001,-72.9329,17.27,73,0,1.54,US,1725838556
127,lihue,21.9789,-159.3672,29.3,62,0,4.63,US,1725838557
128,pemba,-12.974,40.5178,23.82,81,3,2.02,MZ,1725838558
129,sao tome,0.3365,6.7273,24.9,86,61,3.52,ST,1725838560
130,chimoio,-19.1164,33.4833,20.92,68,20,1.06,MZ,1725838561
131,port alfred,-33.5906,26.891,10.1,90,84,0.45,ZA,1725838562
132,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.09,GF,1725838563
133,les anglais,18.3054,-74.2197,26.6,86,34,2.36,HT,1725838564
134,dzuunmod,48.2199,97.3744,-0.85,61,0,2.0,MN,1725838565
135,zaragoza,41.6561,-0.8773,18.34,54,0,6.69,ES,1725838430
136,miahuatlan,18.5667,-97.4333,19.28,70,100,1.84,MX,1725838568
137,ketchikan,55.3422,-131.6461,14.99,60,27,3.13,US,1725838569
138,velur,12.9333,79.1333,26.16,68,100,6.13,IN,1725838570
139,kimbe,-5.5502,150.1429,29.24,56,97,4.61,PG,1725838571
140,chui,-33.6971,-53.4616,13.66,94,99,2.17,UY,1725838572
141,chernyshevskiy,63.0128,112.4714,7.51,92,100,2.61,RU,1725838573
142,thompson,55.7435,-97.8558,24.09,50,40,2.57,CA,1725838574
143,chinchani,19.8667,72.7,26.65,84,100,3.23,IN,1725838576
144,chernigovka,44.3389,132.5728,21.55,78,1,1.77,RU,1725838577
145,port douglas,-16.4833,145.4667,24.43,72,39,5.27,AU,1725838579
146,aracuai,-16.8497,-42.0703,24.98,47,1,3.27,BR,1725838580
147,egilsstadir,65.2653,-14.3948,4.95,60,75,2.57,IS,1725838581
148,lazaro cardenas,17.9583,-102.2,28.57,78,62,1.19,MX,1725838583
149,lerwick,60.1545,-1.1494,11.43,70,100,6.54,GB,1725838584
150,al hudaydah,14.7978,42.9545,30.03,78,0,2.72,YE,1725838585
151,kuala terengganu,5.3302,103.1408,24.97,83,20,2.24,MY,1725838586
152,kill devil hills,36.0307,-75.676,19.43,68,0,0.0,US,1725838587
153,nyurba,63.2842,118.3319,9.47,88,99,2.73,RU,1725838588
154,tidjikja,18.5564,-11.4271,32.47,44,38,3.75,MR,1725838589
155,dawson creek,55.7666,-120.2362,21.8,46,0,5.66,CA,1725838591
156,avarua,-21.2078,-159.775,25.03,78,75,5.66,CK,1725838592
157,longyearbyen,78.2186,15.6401,0.91,80,40,4.12,SJ,1725838593
158,lompoc,34.6391,-120.4579,23.41,67,0,7.2,US,1725838594
159,polyarnyy,69.1989,33.4478,13.01,92,58,5.58,RU,1725838595
160,uturoa,-16.7333,-151.4333,24.95,76,28,7.74,PF,1725838596
161,san pedro,14.35,121.0167,28.57,85,75,3.09,PH,1725838597
162,whitehorse,60.7161,-135.0538,12.28,86,40,0.89,CA,1725838599
163,smithers,54.7804,-127.1743,16.18,72,100,4.12,CA,1725838600
164,dolbeau-mistassini,48.8763,-72.212,10.26,84,100,5.06,CA,1725838601
165,urengoy,65.9667,78.3667,0.12,80,35,8.35,RU,1725838602
166,veracruz,19.3333,-96.6667,21.51,90,100,1.48,MX,1725838603
167,teshi old town,5.5836,-0.1072,25.31,83,20,5.66,GH,1725838604
168,arno,60.1167,18.6333,17.17,75,34,5.06,SE,1725838605
169,paramaribo,5.8667,-55.1667,30.95,70,0,0.0,SR,1725838608
170,soe,-9.8607,124.284,24.9,47,5,1.97,ID,1725838609
171,laurentides,46.4334,-74.9826,4.6,99,100,4.84,CA,1725838610
172,luena,-11.7833,19.9167,16.33,27,80,1.57,AO,1725838613
173,yerofey pavlovich,53.9667,121.9667,11.73,60,100,2.65,RU,1725838614
174,yuzhno-kurilsk,44.0306,145.8556,18.2,72,4,6.43,RU,1725838615
175,manaure,11.7751,-72.4445,30.51,72,100,3.95,CO,1725838616
176,sfantu gheorghe,45.8667,25.7833,12.18,54,0,2.16,RO,1725838617
177,babolsar,36.7025,52.6576,23.54,71,0,1.42,IR,1725838618
178,talnakh,69.4865,88.3972,0.41,98,100,7.65,RU,1725838620
179,ormara,25.2088,64.6357,26.55,87,21,6.82,PK,1725838621
180,vila franca do campo,37.7167,-25.4333,21.23,99,34,2.42,PT,1725838622
181,naliya,23.2667,68.8333,26.18,85,8,5.13,IN,1725838623
182,mubende,0.5606,31.39,16.69,91,55,0.63,UG,1725838624
183,stanley,54.868,-1.6985,12.38,96,100,5.66,GB,1725838625
184,tiquipaya,-17.3382,-66.2189,21.4,26,20,3.09,BO,1725838626
185,mokhsogollokh,61.4681,128.9203,7.79,81,100,1.08,RU,1725838627
186,jambi city,-1.6,103.6167,24.84,88,100,1.36,ID,1725838629
187,hami,42.8,93.45,15.89,26,0,3.47,CN,1725838630
188,christchurch,-43.5333,172.6333,16.06,61,62,2.57,NZ,1725838521
189,kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1725838633
190,aitape,-3.1374,142.3475,25.96,85,100,1.49,PG,1725838634
191,yima,34.7381,111.8839,22.78,96,75,3.02,CN,1725838636
192,galle,6.0367,80.217,26.72,83,100,6.94,LK,1725838440
193,naze,28.3667,129.4833,26.51,86,96,8.94,JP,1725838638
194,warman,52.3168,-106.5679,30.95,25,0,1.03,CA,1725838639
195,ornskoldsvik,63.2909,18.7153,13.53,100,75,1.54,SE,1725838640
196,mahina,-17.5065,-149.489,27.87,61,20,8.23,PF,1725838641
197,la jolla,32.8473,-117.2742,37.64,37,0,7.2,US,1725838643
198,badger,64.8,-147.5333,12.21,88,100,1.54,US,1725838644
199,lorengau,-2.0226,147.2712,29.2,68,58,8.03,PG,1725838645
200,shush,32.1942,48.2436,32.61,12,0,1.69,IR,1725838646
201,pisco,-13.7,-76.2167,19.03,72,23,3.6,PE,1725838647
